vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,Open
-4.21,2.0,0.61,-0.21,11.75,20.66,-39.0,9275.94
-4.71,3.0,0.74,-0.06,11.06,20.69,-35.0,9288.08
-3.61,-3.0,0.61,-0.23,11.88,22.62,-42.0,9276.24
-4.76,4.0,0.75,0.09,11.34,22.72,-39.0,9286.54
-3.43,-4.0,0.57,-0.22,11.67,22.78,-37.0,9271.38
-3.66,-4.0,0.6,-0.21,11.82,22.53,-35.0,9275.24
-3.83,-4.0,0.26,-1.26,11.0,20.45,-18.0,9239.5
-3.96,-5.0,0.39,-0.65,12.27,22.12,-32.0,9249.84
-4.36,7.0,0.8,0.17,11.76,20.94,-45.0,9288.95
-4.21,7.0,0.68,-0.08,12.53,21.16,-43.0,9280.24
-3.93,-7.0,0.25,-1.1,12.07,21.68,-21.0,9241.61
-3.81,-7.0,0.31,-1.3,10.21,21.4,-14.0,9234.06
-3.81,-8.0,0.4,-1.04,10.1,20.36,-14.0,9249.74
-5.26,9.0,1.03,0.79,11.51,23.14,-40.0,9311.12
-5.06,9.0,1.0,0.69,11.62,23.26,-34.0,9308.37
-5.01,9.0,1.0,0.65,11.54,23.08,-33.0,9307.71
-3.88,-9.0,0.35,-0.66,12.07,22.76,-28.0,9248.22
-3.81,-9.0,0.18,-1.5,10.93,22.41,-11.0,9235.69
-4.41,10.0,0.9,0.77,10.46,21.69,-42.0,9296.63
-5.18,10.0,0.96,0.77,11.5,22.84,-43.0,9304.14
-3.88,-10.0,0.28,-0.98,12.22,21.9,-26.0,9242.45
-3.53,-10.0,0.4,-1.05,8.9,17.06,-10.0,9250.31
-4.61,11.0,0.85,0.65,10.86,22.54,-39.0,9293.28
-4.98,11.0,0.96,0.76,11.12,22.82,-41.0,9305.52
-4.88,11.0,1.02,0.86,11.45,23.09,-38.0,9309.94
-4.56,13.0,0.95,0.85,9.91,20.48,-41.0,9302.78
-5.18,13.0,1.15,1.07,11.41,22.89,-33.0,9323.19
-4.48,14.0,1.06,0.95,9.56,18.95,-36.0,9314.43
-4.56,17.0,1.08,1.02,9.7,19.62,-43.0,9316.22
-4.83,18.0,1.16,1.08,9.77,20.09,-39.0,9325.48
-5.01,21.0,1.19,1.32,7.84,17.94,-29.0,9330.62
-4.71,22.0,1.24,1.27,9.48,18.48,-36.0,9333.62
-5.18,24.0,1.33,1.47,7.98,18.37,-27.0,9344.15
-5.06,24.0,1.22,1.39,7.83,17.49,-28.0,9334.43
-4.61,24.0,1.33,1.5,8.3,18.54,-34.0,9342.43
-4.51,24.0,1.32,1.5,8.18,19.2,-30.0,9341.43
-4.51,24.0,1.25,1.39,8.6,18.75,-32.0,9334.3
-4.76,24.0,1.34,1.51,9.42,18.66,-36.0,9343.91
-4.73,26.0,1.38,1.61,8.13,18.88,-26.0,9347.18
-5.01,27.0,1.27,1.52,7.71,17.34,-28.0,9338.39
-4.51,27.0,1.31,1.41,9.08,19.07,-35.0,9340.4
-4.46,27.0,1.27,1.39,9.08,19.07,-36.0,9336.4
-4.61,30.0,1.22,1.5,7.63,16.37,-25.0,9334.23
-4.96,30.0,1.3,1.53,7.71,16.8,-27.0,9341.01
-4.18,30.0,1.15,1.58,6.86,14.27,-18.0,9328.33
-4.66,31.0,1.27,1.61,7.52,15.76,-31.0,9336.63
-4.78,31.0,1.36,1.66,8.28,18.58,-35.0,9344.12
-4.63,32.0,1.34,1.8,7.37,15.5,-31.0,9342.24
-4.18,-1.0,0.7,-0.09,12.04,22.99,-40.0,9283.98
-4.26,-1.0,0.5,-0.75,11.66,21.18,-24.0,9270.37
-4.41,33.0,1.24,1.64,7.2,14.88,-26.0,9334.12
-4.56,35.0,1.36,1.85,7.21,15.06,-29.0,9344.09
-1.05,0.0,-0.14,1.09,4.64,12.8,0.0,9287.12
-0.71,-9.0,-0.3,0.8,4.98,12.07,2.0,9271.92
-1.24,-8.0,-0.25,0.86,5.19,16.58,2.0,9276.54
-0.97,-5.0,-0.19,1.01,5.06,14.52,-2.0,9282.34
-1.6,1.0,-0.08,1.14,5.57,18.92,-2.0,9301.19
-4.73,7.0,0.66,2.36,12.8,33.69,-2.0,9376.03
-4.63,9.0,0.75,2.48,12.0,34.43,-2.0,9383.32
-4.68,5.0,0.63,2.38,12.42,34.15,-2.0,9372.96
-6.39,12.0,1.06,2.74,12.31,24.94,-2.0,9429.69
-5.42,10.0,0.76,2.53,11.23,33.08,-2.0,9376.39
-5.97,12.0,0.97,2.55,12.05,26.09,-2.0,9401.98
-6.76,11.0,1.05,2.74,11.41,23.14,3.0,9429.67
-6.55,10.0,0.97,2.6,11.54,24.28,3.0,9421.12
-7.26,10.0,1.08,2.73,10.33,21.47,3.0,9431.46
-1.74,-1.0,0.04,1.3,5.71,20.04,-3.0,9311.27
-3.63,1.0,0.12,1.44,7.67,29.89,-3.0,9311.86
-4.07,5.0,0.43,2.18,10.94,35.96,-3.0,9336.28
-5.31,10.0,0.86,2.62,10.48,33.35,-3.0,9393.31
-5.76,7.0,0.67,2.27,12.18,26.52,-3.0,9358.97
-5.21,9.0,0.81,2.6,10.87,33.02,-3.0,9389.72
-5.81,6.0,0.67,2.24,11.97,27.09,-3.0,9353.8
-1.18,-1.0,-0.03,1.13,4.98,15.29,-4.0,9297.25
-1.71,0.0,-0.01,1.22,5.54,19.88,-4.0,9305.76
-1.45,-3.0,-0.04,1.16,5.46,17.55,-4.0,9305.36
-2.0,2.0,0.0,1.46,6.18,24.85,-4.0,9305.24
-2.16,3.0,0.1,1.47,5.81,24.68,-4.0,9312.27
-3.68,1.0,0.14,1.44,7.38,29.85,-4.0,9313.57
-2.42,3.0,0.14,1.58,6.32,27.81,-4.0,9312.91
-2.13,3.0,0.07,1.51,6.19,27.2,-4.0,9309.15
-3.42,5.0,0.03,1.41,9.18,27.06,-4.0,9302.18
-4.94,8.0,0.71,2.4,10.39,33.55,-4.0,9380.32
-2.08,3.0,0.21,1.52,5.48,22.58,-5.0,9319.03
-2.16,6.0,0.14,1.59,6.31,25.06,-5.0,9313.07
-3.81,3.0,0.21,1.46,7.38,29.85,-5.0,9317.69
-2.21,5.0,0.14,1.51,5.15,23.4,-5.0,9310.08
-4.55,9.0,0.7,2.46,11.8,34.99,-5.0,9377.72
-1.89,1.0,0.19,1.48,5.49,20.58,-6.0,9320.75
-2.26,7.0,0.16,1.65,6.22,27.02,-6.0,9310.38
-3.73,5.0,0.32,1.7,6.66,28.69,-6.0,9323.96
-2.76,6.0,0.17,1.65,6.58,27.94,-6.0,9311.1
-4.28,10.0,0.78,2.52,10.88,35.26,-6.0,9384.69
-3.63,4.0,0.31,1.67,6.86,30.04,-7.0,9323.09
-4.23,11.0,0.63,2.33,11.39,35.69,-7.0,9363.9
-4.05,8.0,0.49,1.96,9.16,32.38,-7.0,9348.25
-5.42,8.0,0.8,2.6,11.31,32.1,-7.0,9379.21
-4.13,5.0,0.44,1.68,9.28,30.32,-10.0,9338.72
-3.92,5.0,0.22,1.44,9.13,28.37,-10.0,9320.1
-4.1,8.0,0.65,2.32,9.87,34.53,-10.0,9365.32
-4.23,11.0,0.65,2.43,10.52,35.77,-10.0,9373.99
-0.66,-3.0,-0.2,0.94,4.9,13.2,1.0,9284.33
-5.76,11.0,0.85,2.48,11.66,29.88,1.0,9383.98
-1.34,-5.0,-0.16,0.97,5.34,16.95,-1.0,9289.27
-3.36,-1.0,-0.01,1.31,7.95,29.33,-1.0,9301.99
-5.94,12.0,0.92,2.51,12.42,25.91,-1.0,9398.39
-3.22,18.0,0.5,0.0,6.07,3.03,-26.0,9459.67
-3.45,19.0,0.54,0.19,5.06,1.43,-29.0,9464.04
-4.61,19.0,0.89,0.47,11.82,0.0,-39.0,9500.02
-4.24,19.0,1.36,1.5,8.16,-26.7,-37.0,9550.18
-3.39,20.0,0.5,0.0,5.43,2.51,-26.0,9463.39
-3.45,21.0,0.58,-0.05,7.25,1.01,-35.0,9470.07
-3.68,21.0,0.48,-0.03,4.99,1.84,-23.0,9463.58
-3.62,21.0,0.56,-0.01,7.18,-0.72,-36.0,9467.86
-4.55,21.0,0.93,0.53,11.66,-1.13,-37.0,9501.36
-4.95,21.0,1.06,0.7,12.26,-0.8,-48.0,9514.37
-4.78,21.0,0.97,0.54,12.22,-0.15,-41.0,9506.17
-4.3,21.0,1.46,1.79,9.09,-21.99,-37.0,9560.3
-5.6,21.0,1.37,1.23,12.11,-3.9,-37.0,9534.28
-4.16,21.0,1.63,2.28,9.8,-20.85,-47.0,9576.7
-4.44,21.0,1.72,2.39,11.22,-20.2,-38.0,9596.17
-4.47,21.0,1.72,2.27,11.01,-19.29,-34.0,9582.55
-5.66,22.0,1.37,1.14,12.43,-2.07,-44.0,9529.49
-4.55,23.0,0.64,0.36,8.05,0.82,-51.0,9475.68
-4.55,23.0,0.97,0.61,10.98,-1.45,-46.0,9504.65
-3.62,24.0,0.56,-0.12,6.16,3.47,-32.0,9465.08
-3.39,24.0,0.58,0.14,6.51,3.24,-28.0,9465.6
-3.93,24.0,0.61,0.07,7.11,-1.18,-39.0,9472.26
-3.7,24.0,0.6,0.21,5.21,1.86,-29.0,9471.24
-4.61,24.0,0.69,0.43,7.76,0.51,-48.0,9481.63
-4.55,24.0,0.98,0.63,10.08,-2.04,-53.0,9506.47
-3.68,25.0,0.67,0.12,5.97,3.6,-36.0,9475.54
-4.1,25.0,0.61,0.08,7.31,-1.28,-40.0,9472.26
-4.38,25.0,0.63,0.42,7.47,0.19,-47.0,9475.71
-4.38,25.0,0.65,0.43,7.05,-0.02,-48.0,9481.04
-4.64,25.0,0.74,0.38,8.39,0.1,-49.0,9488.21
-4.47,25.0,0.99,0.63,9.28,-1.52,-44.0,9506.28
-4.67,25.0,0.7,0.44,8.16,0.89,-50.0,9481.45
-4.44,25.0,0.98,0.64,9.54,-1.58,-48.0,9505.54
-4.67,25.0,0.68,0.34,8.3,0.55,-46.0,9480.32
-5.15,25.0,1.89,2.39,11.48,-5.29,-61.0,9610.18
-4.64,26.0,0.85,0.52,8.16,0.04,-59.0,9496.8
-4.67,26.0,1.01,0.56,8.59,-0.87,-44.0,9508.61
-4.58,26.0,0.68,0.46,7.59,0.43,-45.0,9478.9
-4.64,26.0,0.75,0.5,8.12,0.03,-49.0,9487.58
-4.58,26.0,0.97,0.55,8.99,-0.67,-41.0,9503.99
-3.99,27.0,0.59,0.21,7.13,-1.12,-42.0,9469.83
-4.36,27.0,0.65,0.45,7.17,0.03,-46.0,9478.26
-4.69,27.0,0.96,0.51,7.93,-0.73,-46.0,9504.58
-3.85,28.0,0.56,0.15,7.13,-1.12,-36.0,9467.45
0.29,37.0,1.9,3.86,17.54,14.61,4.0,9423.35
0.47,36.0,1.86,3.45,18.31,15.21,9.0,9419.16
0.03,38.0,2.3,4.6,18.23,14.09,7.0,9462.71
-0.18,38.0,2.29,4.62,18.25,14.4,5.0,9460.85
0.44,36.0,1.99,3.54,18.56,14.76,8.0,9432.34
-0.13,38.0,2.32,4.69,18.37,14.25,5.0,9463.81
0.42,37.0,1.9,3.72,18.04,15.65,4.0,9423.08
0.03,38.0,2.25,4.62,18.17,14.44,9.0,9457.54
0.13,37.0,2.2,3.99,18.56,13.49,17.0,9432.34
0.05,37.0,2.31,4.55,20.29,12.14,-2.0,9461.6
0.08,38.0,2.3,4.65,20.78,13.28,20.0,9462.1
-0.03,36.0,2.46,4.74,20.18,11.38,7.0,9481.03
-0.18,37.0,2.35,4.58,20.63,13.2,18.0,9470.72
-0.18,38.0,2.23,4.47,17.68,13.72,19.0,9454.93
-0.21,36.0,2.33,4.7,20.34,12.73,-5.0,9462.6
-0.31,38.0,2.38,4.76,17.64,13.73,5.0,9475.29
0.08,35.0,2.33,4.65,20.5,11.76,-2.0,9463.18
-2.04,16.0,-0.3,0.14,18.31,11.2,0.0,9263.63
-3.32,-29.0,-0.8,-0.81,19.47,-0.64,2.0,9216.24
-2.93,-29.0,-0.79,-0.81,21.02,0.15,2.0,9218.87
-2.38,-7.0,-0.67,-0.92,24.4,2.38,4.0,9230.23
-3.03,-13.0,-0.58,-0.64,22.78,0.84,4.0,9237.42
-2.81,-19.0,-0.75,-0.68,23.89,0.33,4.0,9218.23
-3.56,-29.0,-0.75,-0.79,17.91,-3.1,4.0,9219.84
-1.94,15.0,-0.46,-0.02,17.37,9.97,5.0,9251.54
-2.42,-4.0,-0.63,-0.73,24.35,2.44,6.0,9235.35
-2.74,-25.0,-0.96,-1.0,22.19,0.63,6.0,9203.08
-2.79,-22.0,-0.86,-0.8,22.2,0.6,6.0,9208.58
-2.84,-29.0,-0.98,-1.04,21.5,0.46,6.0,9201.07
-1.79,-1.0,-0.53,-0.36,19.01,11.59,7.0,9247.1
-1.84,16.0,-0.53,-0.14,16.08,6.43,7.0,9247.35
-2.18,-6.0,-0.57,-0.72,21.72,4.63,7.0,9242.56
-2.28,-6.0,-0.66,-0.77,24.33,3.13,7.0,9232.04
-3.01,-18.0,-0.66,-0.75,22.96,1.61,7.0,9227.32
-2.3,-23.0,-0.85,-0.9,24.66,1.26,7.0,9205.27
-2.35,-21.0,-0.82,-0.85,24.36,0.95,7.0,9213.1
-2.64,-23.0,-0.85,-0.84,22.36,0.4,7.0,9207.86
-3.13,-24.0,-0.76,-0.85,21.94,0.46,7.0,9209.31
-3.18,-29.0,-0.94,-0.95,18.86,-1.62,7.0,9206.13
-1.96,-2.0,-0.58,-0.33,19.31,12.07,8.0,9245.66
-1.82,0.0,-0.56,-0.39,20.15,11.83,8.0,9245.48
-1.72,-4.0,-0.55,-0.29,19.77,12.14,8.0,9248.34
-2.35,-7.0,-0.6,-0.67,21.38,4.65,8.0,9238.72
-2.4,-22.0,-0.88,-1.04,24.5,0.99,8.0,9205.77
-2.76,-22.0,-0.78,-0.64,23.99,0.41,8.0,9214.05
-2.42,-9.0,-0.62,-0.73,21.95,4.72,9.0,9235.12
-2.57,-22.0,-0.8,-0.84,24.89,1.19,9.0,9213.06
-1.09,16.0,-0.65,-0.55,15.55,6.54,10.0,9227.76
-1.79,-16.0,-0.72,-1.1,21.19,8.91,10.0,9225.93
-2.38,-20.0,-0.89,-0.9,24.81,1.19,10.0,9205.79
-1.75,1.0,-0.68,-0.43,19.21,12.25,11.0,9231.6
-1.58,-3.0,-0.71,-0.64,19.43,12.05,11.0,9228.11
-2.33,-20.0,-1.0,-1.15,24.74,1.42,11.0,9196.72
-2.21,-23.0,-0.95,-1.03,24.94,1.63,11.0,9192.56
-2.11,-10.0,-0.82,-1.07,25.02,3.76,12.0,9216.54
-2.3,-22.0,-0.88,-0.9,24.66,1.55,12.0,9203.57
-1.6,-7.0,-0.77,-0.83,19.43,11.52,13.0,9224.81
-2.3,-13.0,-0.77,-1.03,22.26,4.84,13.0,9221.17
-2.35,-24.0,-0.96,-1.0,25.3,1.72,13.0,9188.54
-2.47,-21.0,-0.81,-0.91,23.26,1.9,13.0,9210.65
-2.13,-10.0,-0.79,-0.98,22.06,5.04,14.0,9221.92
-1.99,-23.0,-1.03,-1.18,24.44,2.27,14.0,9161.27
-0.87,15.0,-0.79,-0.89,13.83,5.34,15.0,9218.24
-1.65,-20.0,-0.84,-1.3,21.2,8.52,15.0,9203.63
-1.55,-20.0,-0.92,-1.24,21.7,8.23,16.0,9174.8
-1.89,-17.0,-0.83,-1.12,21.27,8.67,16.0,9217.47
-1.87,-16.0,-0.84,-1.03,21.53,5.05,16.0,9214.38
-1.45,-19.0,-0.87,-1.02,21.3,7.27,17.0,9213.02
-2.08,-12.0,-0.89,-1.13,22.11,4.61,17.0,9212.31
-2.16,-18.0,-0.93,-1.15,22.3,4.79,17.0,9205.31
-2.11,-23.0,-1.01,-1.13,24.12,2.36,17.0,9193.08
-1.48,-18.0,-0.94,-1.13,21.24,7.46,18.0,9206.97
-1.75,-16.0,-1.03,-1.57,25.33,5.42,18.0,9200.44
-1.31,-16.0,-0.92,-0.94,19.99,10.8,19.0,9204.66
-1.87,-13.0,-0.98,-1.4,25.27,5.71,19.0,9202.09
-1.38,-19.0,-0.96,-1.29,20.99,7.44,20.0,9191.34
-1.41,-19.0,-0.94,-1.2,21.06,6.86,20.0,9168.57
-1.02,-20.0,-1.07,-1.45,20.57,6.94,23.0,9187.27
-4.47,22.0,1.02,0.98,8.11,15.5,2.0,9396.26
-3.82,13.0,0.73,0.85,6.51,14.69,2.0,9366.4
-0.37,-13.0,-0.32,-0.99,6.0,18.81,2.0,9268.93
-2.08,1.0,-0.06,-0.5,6.11,17.71,-2.0,9294.67
-2.31,1.0,0.14,-0.3,6.34,16.83,-2.0,9311.1
-1.01,-13.0,-0.38,-1.05,5.89,18.04,3.0,9265.45
-1.05,-9.0,-0.39,-0.99,6.2,17.55,3.0,9264.11
-3.3,12.0,0.56,0.32,7.27,16.9,-3.0,9347.14
-2.98,5.0,0.33,0.1,5.97,16.3,-3.0,9317.64
-0.46,-13.0,-0.39,-1.06,5.96,19.26,4.0,9262.26
-3.94,20.0,0.95,0.88,7.84,14.56,-4.0,9387.19
0.32,-19.0,-0.82,-2.06,6.09,16.27,5.0,9222.05
-0.62,-12.0,-0.48,-1.41,6.32,17.84,5.0,9262.26
-3.8,25.0,0.92,0.95,7.81,13.92,-5.0,9384.39
-2.89,8.0,0.77,0.7,6.58,16.12,6.0,9368.26
-3.55,15.0,0.97,1.09,7.48,14.51,6.0,9388.77
-3.66,11.0,0.64,0.48,7.66,15.45,-6.0,9352.9
-3.16,9.0,0.83,0.93,6.56,16.63,7.0,9375.54
-3.57,11.0,0.59,0.42,7.94,15.86,-7.0,9350.46
-3.23,9.0,0.86,0.91,6.48,16.78,8.0,9377.72
-0.23,-15.0,-0.8,-1.95,6.2,17.47,8.0,9222.26
-4.74,22.0,1.07,1.11,8.0,15.27,-8.0,9399.81
-3.82,21.0,0.9,0.89,7.75,14.6,-8.0,9382.25
-3.69,11.0,1.03,1.38,6.59,16.57,9.0,9394.43
-3.32,11.0,0.99,1.08,6.88,15.8,10.0,9389.06
-3.53,14.0,0.98,1.31,6.46,16.61,12.0,9387.69
-3.27,13.0,0.99,1.06,7.11,14.88,13.0,9386.44
0.3,-25.0,-0.93,-2.15,6.34,15.56,-14.0,9204.48
-4.19,18.0,1.1,1.48,6.23,14.54,15.0,9403.78
-4.14,30.0,0.96,0.98,7.79,14.69,-17.0,9391.26
-4.08,17.0,0.89,0.81,8.2,15.41,1.0,9381.33
-3.89,18.0,0.85,0.7,7.77,16.25,1.0,9378.88
-3.89,15.0,0.81,0.66,8.11,15.62,-1.0,9373.21
-3.78,15.0,0.73,0.55,8.09,16.01,-1.0,9365.24
-2.66,6.0,0.41,0.09,7.21,17.41,-1.0,9326.3
-3.55,13.0,0.62,0.47,7.24,16.77,-1.0,9353.46
-2.02,-1.0,0.26,-0.19,7.33,18.01,-1.0,9319.25
-3.89,18.0,0.8,0.68,7.17,16.51,-1.0,9374.17
0.07,-24.0,-1.03,-2.36,6.22,16.18,-1.0,9187.57
-0.13,38.0,2.57,4.99,18.4,10.83,20.0,9492.58
0.37,36.0,2.23,4.75,17.42,9.44,0.0,9455.05
0.63,33.0,2.16,4.8,17.1,8.52,0.0,9447.47
-0.03,38.0,2.52,5.04,18.29,10.93,10.0,9486.73
1.2,33.0,1.88,4.22,17.38,9.22,-8.0,9419.37
0.34,36.0,2.27,4.87,17.88,9.62,9.0,9458.31
